instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt_hourly,cnt_day,hourly_ratio,cnt_day_scaled
1,2011-01-01,1,0,1,0,0,6,0,1,9.84,14.395,81.0,0.0,3,13,16,985,0.016243654822335026,0.4925
2,2011-01-01,1,0,1,1,0,6,0,1,9.02,13.635,80.0,0.0,8,32,40,985,0.04060913705583756,0.4925
3,2011-01-01,1,0,1,2,0,6,0,1,9.02,13.635,80.0,0.0,5,27,32,985,0.03248730964467005,0.4925
4,2011-01-01,1,0,1,3,0,6,0,1,9.84,14.395,75.0,0.0,3,10,13,985,0.013197969543147208,0.4925
5,2011-01-01,1,0,1,4,0,6,0,1,9.84,14.395,75.0,0.0,0,1,1,985,0.0010152284263959391,0.4925
6,2011-01-01,1,0,1,5,0,6,0,2,9.84,12.879999999999999,75.0,6.0032,0,1,1,985,0.0010152284263959391,0.4925
7,2011-01-01,1,0,1,6,0,6,0,1,9.02,13.635,80.0,0.0,2,0,2,985,0.0020304568527918783,0.4925
8,2011-01-01,1,0,1,7,0,6,0,1,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,985,0.003045685279187817,0.4925
9,2011-01-01,1,0,1,8,0,6,0,1,9.84,14.395,75.0,0.0,1,7,8,985,0.008121827411167513,0.4925
10,2011-01-01,1,0,1,9,0,6,0,1,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,985,0.014213197969543147,0.4925
11,2011-01-01,1,0,1,10,0,6,0,1,15.58,19.695,76.0,16.997899999999998,12,24,36,985,0.03654822335025381,0.4925
12,2011-01-01,1,0,1,11,0,6,0,1,14.76,16.665,81.0,19.0012,26,30,56,985,0.05685279187817259,0.4925
13,2011-01-01,1,0,1,12,0,6,0,1,17.22,21.21,77.0,19.0012,29,55,84,985,0.08527918781725888,0.4925
14,2011-01-01,1,0,1,13,0,6,0,2,18.86,22.725,72.0,19.999499999999998,47,47,94,985,0.09543147208121827,0.4925
15,2011-01-01,1,0,1,14,0,6,0,2,18.86,22.725,72.0,19.0012,35,71,106,985,0.10761421319796954,0.4925
16,2011-01-01,1,0,1,15,0,6,0,2,18.04,21.97,77.0,19.999499999999998,40,70,110,985,0.1116751269035533,0.4925
